"","unenriched1","unenriched2","unenriched3","vk1","vk2","vk3"
"59273687",15.2103460330295,16.1623204162062,21.2179521758308,0,0,0
"59279522",13.8877072475487,10.9903778830202,8.21340084225707,5.28693121100529,0,0
"59283720",7.27451332014454,6.46492816648249,9.58230098263325,0,0,0
"59294986",62.1640229175988,60.7703247649354,65.0227566678685,0,13.2338379869529,12.7321917392801
"59297378",7.27451332014454,5.17194253318599,4.79115049131662,3.52462080733686,0,0
"59297947",11.9037490693274,10.9903778830202,10.2667510528213,6.16808641283951,6.61691899347644,2.12203195654669
"59305381",1.98395817822124,3.23246408324125,2.05335021056427,18.5042592385185,30.87895530289,25.4643834785602
"59315964",29.7593726733186,27.7991911158747,30.1158030882759,29.9592768623633,23.1592164771675,26.5253994568336
"59318674",30.420692066059,29.7386695658195,32.8536033690283,10.5738624220106,28.6733156383979,27.5864154351069
"59329815",388.194483538622,347.16664254011,382.607589235142,207.952627632875,56.2438114445497,200.532019893662
"59330761",6.61319392740413,7.11142098313074,8.21340084225707,6.16808641283951,0,0
"59331742",3.30659696370206,3.23246408324125,2.05335021056427,20.266569642187,14.336657819199,30.769463369927
"59335918",7.93583271288495,5.81843534983424,8.21340084225707,22.0288800458554,6.61691899347644,2.12203195654669
"59353713",17.8556236039911,12.929856332965,15.742351614326,14.9796384311817,0,0
"59355757",9.25847149836578,10.343885066372,8.21340084225707,0,0,0
"59355888",15.2103460330295,16.1623204162062,18.4801518950784,14.0984832293474,14.336657819199,10.6101597827334
"59359904",8.59715210562537,5.81843534983424,6.1600506316928,0,0,0
"59361022",6.61319392740413,6.46492816648249,7.52895077206898,0,0,0
"59371623",7.93583271288495,9.69739224972374,4.79115049131662,4.40577600917108,0,0
"59373419",5.95187453466372,6.46492816648249,6.84450070188089,5.28693121100529,3.30845949673822,4.24406391309337
"59377850",9.25847149836578,9.69739224972374,10.9512011230094,8.81155201834215,8.82255865796859,6.36609586964006
"59378487",5.95187453466372,5.81843534983424,6.84450070188089,1.76231040366843,0,0
"59382202",9.91979089110619,9.05089943307549,10.9512011230094,0,0,0
"59382538",83.326243485292,73.7001810979004,88.2940590542635,80.1851233669136,113.590442721346,106.101597827334
"59387587",3.30659696370206,5.81843534983424,4.79115049131662,15.8607936330159,3.30845949673822,5.30507989136672
"59399137",11.9037490693274,12.2833635163167,13.6890014037618,19.3854144403527,3.30845949673822,6.36609586964006
"59401243",25.1301369241357,23.9202342159852,26.6935527373355,20.266569642187,25.3648561416597,0
"59405675",4.62923574918289,5.17194253318599,4.10670042112853,10.5738624220106,1.10281983224607,1.06101597827334
"59407271",9.91979089110619,8.40440661642724,7.52895077206898,31.7215872660318,16.5422974836911,10.6101597827334
"59408423",3.96791635644248,5.17194253318599,5.47560056150471,0,0,0
"59414425",3.30659696370206,3.87895689988949,4.10670042112853,21.1477248440212,8.82255865796859,3.18304793482003
"59416851",13.2263878548083,8.40440661642724,8.89785091244516,5.28693121100529,0,0
"59421322",11.242429676587,10.9903778830202,10.2667510528213,3.52462080733686,0,0
"59425955",23.8074981386549,28.445683932523,32.1691532988402,43.1766048898766,43.0099734575968,28.6474314133803
"59429091",39.0178441716844,34.9106120990054,37.6447538603449,65.2054849357319,106.973523727869,51.9897829353938
