,Neg1rep1,Neg1rep2,Neg1rep3,Nov_VK1rep1,Nov_VK1rep2,Nov_VK1rep3,Nov_VK3rep1,Nov_VK3rep2,Nov_VK3rep3,Nov_VK5rep1,Nov_VK5rep2,Nov_VK5rep3,Nov_unenriched1rep1,Nov_unenriched1rep2,Nov_unenriched1rep3,Nov_unenriched2rep1,Nov_unenriched2rep2,Nov_unenriched2rep3,Nov_unenriched3rep1,Nov_unenriched3rep2,Nov_unenriched3rep3
57125904,0,0,0,1,2,4,0,0,0,0,0,0,5,5,3,3,5,5,4,4,3
57129243,0,0,0,9,5,0,2,0,3,0,0,0,1,2,2,2,2,2,2,2,2
57139177,0,0,0,11,15,17,8,10,11,12,6,8,14,17,12,16,17,16,17,19,12
57141127,5,4,4,7,9,11,7,8,11,5,3,5,9,5,6,4,7,7,9,7,5
57147376,0,0,0,10,6,8,9,9,9,8,9,10,5,7,5,6,5,6,5,6,4
57150804,2,2,3,8,5,5,4,3,4,7,6,6,12,12,10,10,12,11,10,9,11
57161130,4,4,7,13,12,16,13,15,15,15,14,14,14,14,13,15,13,17,15,17,15
57174569,0,0,0,1,3,4,0,0,0,0,0,0,4,4,3,4,4,2,2,4,3
57177404,6,7,7,11,14,13,8,7,10,12,13,12,7,10,9,6,5,8,7,8,4
57188826,0,0,0,6,5,6,5,4,8,2,0,3,3,4,4,4,4,3,2,4,3
57192718,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,5,2,2,4,4,3
57195031,0,0,0,9,9,10,11,9,9,9,8,5,32,29,26,28,26,22,40,32,27
57201191,0,0,0,3,2,4,2,0,2,2,1,2,5,2,3,3,3,6,6,3,3
57211590,0,0,0,3,6,6,2,0,3,3,3,3,4,4,4,4,4,4,4,4,4
57213924,2,2,1,0,0,0,0,0,0,0,0,0,4,3,5,6,3,5,5,5,4
57234425,0,0,0,10,9,8,6,7,6,7,4,5,17,19,21,21,16,17,15,15,17
57242630,6,8,7,20,17,19,15,13,13,16,14,14,20,21,17,14,17,17,16,14,15
57256848,2,2,2,6,4,6,6,5,5,4,3,2,4,8,9,8,6,6,6,8,6
57267341,0,4,0,4,2,0,2,0,1,2,2,0,2,4,2,2,2,2,2,3,2
57275807,2,2,2,6,4,6,6,5,5,4,3,2,17,21,20,17,18,16,19,19,13
57296640,0,0,1,19,21,20,4,0,3,10,7,10,14,16,20,15,15,11,14,18,18
57303155,0,3,2,15,9,15,7,9,10,11,9,10,20,20,18,19,20,21,20,20,21
57341277,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,4,2,1,2,2,3
57366109,0,0,0,6,8,7,7,6,6,6,5,5,6,4,4,5,5,4,6,4,5
57375765,0,0,0,0,1,2,0,0,0,0,0,0,5,3,4,3,6,3,4,3,5
57376663,2,2,3,10,12,10,7,8,11,11,12,6,15,11,11,12,14,11,15,8,13
57377692,0,0,0,9,9,6,0,0,0,2,2,2,13,9,10,8,11,13,10,13,13
57411433,0,0,0,13,15,9,16,14,0,7,7,6,14,15,15,18,15,16,17,20,20
57416755,0,0,0,8,7,8,4,3,6,4,4,4,12,15,12,14,15,13,13,13,13
57419380,0,0,0,6,8,9,2,5,3,9,9,5,9,7,5,8,11,10,8,10,8
57421865,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,0,0,2,0,2,3
57424518,0,0,0,5,8,7,9,8,6,7,5,8,15,11,12,9,8,7,10,6,8
57425254,0,0,0,2,2,4,0,0,0,0,0,0,4,4,6,6,5,5,5,6,6
