"","Neg1rep1","Neg1rep2","Neg1rep3","Nov_VK1rep1","Nov_VK1rep2","Nov_VK1rep3","Nov_VK3rep1","Nov_VK3rep2","Nov_VK3rep3","Nov_VK5rep1","Nov_VK5rep2","Nov_VK5rep3","Nov_unenriched1rep1","Nov_unenriched1rep2","Nov_unenriched1rep3","Nov_unenriched2rep1","Nov_unenriched2rep2","Nov_unenriched2rep3","Nov_unenriched3rep1","Nov_unenriched3rep2","Nov_unenriched3rep3"
"86769",2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,3.37971906836484,3.1441287070749,3.40991075088121,3.29992241335138,3.38670999971833,3.37679226058523,3.46148603654287,3.39794013027173,3.34340217919254
"202956",3.36998595016766,3.09023091225618,2.75714282345676,3.66567482780094,3.68400207245082,3.6036649381491,3.73145095063674,3.61599693294,3.56085273608211,3.62688091174029,3.73293826042874,3.71810046028198,3.30980587835779,3.37412686054801,3.40991075088121,3.43301799687598,3.38670999971833,3.44114079922988,3.522632037555,3.582535634617,3.4824068737732
"209005",4.50339032962905,4.26749237227563,4.19804612138586,3.79242189091604,3.93003691435144,3.8597438908042,4.14080225359628,4.03377929257548,4.19921919866035,3.78255833800083,3.56272131710437,3.63708666424855,3.76235665632592,3.65892159195236,3.75546862401415,3.65252709342087,3.62344501148779,3.66233623923568,3.63483826755498,3.78757069390774,3.85944463598171
"318873",3.36998595016766,3.09023091225618,2.75714282345676,3.4439042646512,3.53959130477746,3.44987476298191,3.64959680910824,3.53019133987608,3.56085273608211,3.44561041479598,3.56272131710437,3.54979962931502,3.44424520760242,3.43831376632799,3.40991075088121,3.54868376759311,3.45166092858187,3.5576777328388,3.58021943453854,3.68946020555268,3.4824068737732
"374028",2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,3.37971906836484,3.30458412200779,3.40991075088121,3.2241304177689,3.23919647618024,3.30707285322553,3.46148603654287,3.32682472316028,3.17592873147506
"496339",2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,3.614850235603,3.49818728968811,3.75546862401415,3.74773401668235,3.67504955544705,3.5576777328388,3.73684341906599,3.582535634617,3.34340217919254
"507999",2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,3.614850235603,3.43831376632799,3.65200507813543,3.79274253708106,3.62344501148779,3.5011688248922,3.73684341906599,3.63726210696123,3.26408574911579
"645785",4.03752319966464,4.02437322735166,4.06873498089583,3.73066069654773,3.74995843315564,3.73825772671882,3.8808902474232,3.84083058084815,3.80755479852565,3.70721129982063,3.65099033633628,3.63708666424855,3.89457545124481,4.00641787373927,4.02514231744114,3.91943977188859,3.86223392293085,3.890117397871,3.87593953538417,4.08499957691661,3.94950714902022
"678725",4.60650988195149,4.48581429234668,4.43504439731819,3.73066069654773,3.87255955949525,3.8597438908042,4.14080225359628,4.03377929257548,4.1399248756399,4.2230104402118,4.01792928581356,4.12303577297842,3.66608677587006,3.43831376632799,3.53824457407947,3.49260266061176,3.56933106332182,3.44114079922988,3.46148603654287,3.52483692402528,3.6034197165553
"733338",2.75714282345676,2.75714282345676,2.75714282345676,3.52332745407607,3.61416391519565,3.67289030050602,3.46503246707307,3.21065055357123,3.46450496619611,3.07465193410164,3.3584096580628,3.08010969770219,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676
"900503",2.75714282345676,2.75714282345676,2.75714282345676,3.90802885543682,3.87255955949525,3.73825772671882,3.64959680910824,2.75714282345676,2.75714282345676,3.62688091174029,2.75714282345676,2.75714282345676,4.2344129504475,3.79987822933126,3.59662220522169,3.65252709342087,3.56933106332182,3.5011688248922,3.58021943453854,2.75714282345676,3.6034197165553
"996140",2.75714282345676,2.75714282345676,2.75714282345676,3.25928602516305,3.15905653746911,3.26426480127304,3.35733093160282,3.33129158295408,3.35685302361849,2.75714282345676,2.75714282345676,2.75714282345676,3.30980587835779,3.30458412200779,3.33800839810925,3.29992241335138,3.31633476679666,3.30707285322553,3.32498511444155,3.32682472316028,3.34340217919254
"1385693",2.75714282345676,2.75714282345676,2.75714282345676,3.5968463850741,3.61416391519565,3.44987476298191,2.92066414175877,2.75714282345676,2.75714282345676,2.91448130574606,2.75714282345676,2.75714282345676,3.66608677587006,3.43831376632799,3.33800839810925,3.36913365710842,3.15372225865359,3.05240672643642,3.32498511444155,2.75714282345676,3.34340217919254
"1488186",2.75714282345676,2.75714282345676,2.75714282345676,3.25928602516305,3.02908787626623,3.02409992822708,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,3.23320058229079,2.95135684971037,3.25912233074794,2.94923983683701,3.31633476679666,2.95249304216834,2.75714282345676,3.06580181760648,2.96954469017939
"1654966",3.09565497497002,2.75714282345676,2.75714282345676,3.52332745407607,3.53959130477746,3.36226672912722,3.23342712452524,2.75714282345676,2.9204939190865,3.07465193410164,3.23437214066826,3.08010969770219,3.37971906836484,3.1441287070749,3.33800839810925,3.29992241335138,3.23919647618024,3.44114079922988,3.522632037555,3.39794013027173,3.07718091675588
"1800596",5.7034028854182,5.73770245334634,5.70097264491354,4.06606596252325,4.0905518478571,4.12547636019787,4.47477252848636,4.15059661604961,3.80755479852565,3.33973243167371,3.3584096580628,3.54979962931502,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676
"1808422",3.09565497497002,2.75714282345676,2.75714282345676,3.52332745407607,3.02908787626623,3.1524365910812,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,3.80787531845442,4.0445407965384,4.43127921970167,4.24798209424666,4.34977970154084,4.12303090819766,4.40210630254092,4.30433055672062,4.4433951246438
"1809296",2.75714282345676,2.75714282345676,2.75714282345676,2.88841725275538,3.15905653746911,3.02409992822708,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,3.30980587835779,3.30458412200779,3.25912233074794,3.29992241335138,3.15372225865359,3.30707285322553,2.96079240232985,3.06580181760648,2.86487213309992
"1818671",4.03752319966464,4.02437322735166,4.06873498089583,3.5968463850741,3.74995843315564,3.6036649381491,3.8808902474232,3.77025334390152,4.01529719402503,3.78255833800083,3.56272131710437,3.63708666424855,3.44424520760242,3.37412686054801,3.47627914756497,3.2241304177689,3.45166092858187,3.37679226058523,3.39597088522174,3.46357551133218,3.54471330042994
"1822783",3.57662323438296,3.3622190847827,3.10857950132888,3.14814308685131,3.02908787626623,3.02409992822708,3.35733093160282,3.33129158295408,3.23300848809822,2.75714282345676,2.75714282345676,2.75714282345676,3.30980587835779,3.1441287070749,3.17149258013733,3.2241304177689,3.05866444597116,3.05240672643642,3.06454646187493,3.1623114907849,3.17592873147506
"1837890",3.09565497497002,2.75714282345676,2.75714282345676,3.14814308685131,3.15905653746911,3.26426480127304,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,3.23320058229079,3.05073264268417,3.07346574053371,3.14033149020108,3.23919647618024,3.14615799094504,3.32498511444155,3.1623114907849,3.26408574911579
"1958375",3.90041056202118,3.73819200404197,3.59873552490664,3.52332745407607,3.45906402067756,3.44987476298191,3.73145095063674,3.61599693294,3.80755479852565,3.33973243167371,2.92104884199948,3.22494430062941,3.44424520760242,3.22840751669931,3.33800839810925,3.29992241335138,3.23919647618024,3.23069165624687,3.16080359255887,3.32682472316028,3.34340217919254
"1963894",3.09565497497002,2.75714282345676,2.75714282345676,3.25928602516305,3.27193029029885,3.26426480127304,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,3.23320058229079,3.1441287070749,3.25912233074794,3.04760562111882,3.15372225865359,3.14615799094504,3.39597088522174,3.1623114907849,3.07718091675588
"1967039",3.09565497497002,3.3622190847827,3.10857950132888,3.66567482780094,3.74995843315564,3.73825772671882,3.64959680910824,3.61599693294,3.56085273608211,3.44561041479598,3.46622315323849,3.45433929740218,3.614850235603,3.65892159195236,3.75546862401415,3.60184555287561,3.62344501148779,3.66233623923568,3.87593953538417,3.83397223125414,3.90517109652815
"1997049",3.36998595016766,3.09023091225618,2.75714282345676,3.25928602516305,3.37074477521973,3.26426480127304,3.46503246707307,3.33129158295408,3.35685302361849,3.44561041479598,3.56272131710437,3.54979962931502,3.30980587835779,3.30458412200779,3.33800839810925,3.29992241335138,3.38670999971833,3.44114079922988,3.522632037555,3.582535634617,3.4824068737732
"2006932",2.75714282345676,2.75714282345676,2.75714282345676,3.25928602516305,3.27193029029885,3.26426480127304,3.08682811244404,3.06885632867302,3.08649589065213,2.75714282345676,2.75714282345676,2.75714282345676,3.1483880951863,3.30458412200779,3.40991075088121,3.14033149020108,3.15372225865359,3.14615799094504,3.16080359255887,3.1623114907849,3.17592873147506
"2008440",3.90041056202118,3.56729490044805,3.59873552490664,3.52332745407607,3.15905653746911,3.26426480127304,3.35733093160282,3.33129158295408,3.35685302361849,2.91448130574606,2.75714282345676,2.91723851863559,4.30232382166549,4.35663811502513,4.77663874790827,4.75808824217383,4.69028318885362,4.45737625792066,4.79900402453055,4.62841084227326,4.70099859907978
"2010475",3.57662323438296,3.56729490044805,3.77433478686519,3.35675771785197,3.27193029029885,3.26426480127304,2.92066414175877,3.33129158295408,2.9204939190865,3.33973243167371,3.3584096580628,3.34764226782165,3.1483880951863,3.22840751669931,3.07346574053371,3.2241304177689,3.15372225865359,3.30707285322553,3.16080359255887,3.1623114907849,3.17592873147506
"2010944",2.75714282345676,2.75714282345676,2.75714282345676,3.25928602516305,3.37074477521973,3.26426480127304,3.08682811244404,3.06885632867302,3.08649589065213,2.75714282345676,2.75714282345676,2.75714282345676,3.1483880951863,3.30458412200779,3.33800839810925,3.14033149020108,3.15372225865359,3.14615799094504,3.16080359255887,3.1623114907849,3.17592873147506
"2011772",3.57662323438296,3.56729490044805,3.77433478686519,3.35675771785197,3.53959130477746,3.44987476298191,2.92066414175877,3.33129158295408,2.9204939190865,3.33973243167371,3.3584096580628,3.34764226782165,3.44424520760242,3.49818728968811,3.33800839810925,3.49260266061176,3.45166092858187,3.5576777328388,3.2471454735617,3.32682472316028,3.17592873147506
"2018232",2.75714282345676,2.75714282345676,2.75714282345676,3.25928602516305,3.27193029029885,3.26426480127304,3.08682811244404,3.06885632867302,3.08649589065213,2.75714282345676,2.75714282345676,2.75714282345676,3.1483880951863,3.30458412200779,3.40991075088121,3.14033149020108,3.15372225865359,3.14615799094504,3.16080359255887,3.1623114907849,3.17592873147506
"2022201",3.74891069692738,3.56729490044805,3.10857950132888,3.79242189091604,3.93003691435144,3.8597438908042,4.01610521579822,3.90797245481705,3.94923747089748,3.92158246567341,3.95175531091618,3.99973552485817,3.80787531845442,3.75462932939899,3.85115075850569,3.79274253708106,3.77202401731018,3.890117397871,4.08164668049728,4.08499957691661,4.07535507245053
"2057470",4.3957227299474,4.26749237227563,4.19804612138586,3.79242189091604,3.87255955949525,3.73825772671882,4.14080225359628,4.03377929257548,4.19921919866035,3.78255833800083,3.56272131710437,3.63708666424855,3.76235665632592,3.60797858975739,3.70483906084907,3.54868376759311,3.62344501148779,3.5576777328388,3.58021943453854,3.68946020555268,3.7631903468127
"2058497",3.57662323438296,3.3622190847827,3.10857950132888,3.14814308685131,3.02908787626623,3.02409992822708,3.35733093160282,3.33129158295408,3.23300848809822,2.75714282345676,2.75714282345676,2.75714282345676,3.30980587835779,3.1441287070749,3.17149258013733,3.2241304177689,3.05866444597116,3.05240672643642,3.06454646187493,3.1623114907849,3.17592873147506
"2064818",2.75714282345676,2.75714282345676,2.75714282345676,3.02088029802109,3.27193029029885,3.1524365910812,2.75714282345676,2.75714282345676,2.75714282345676,2.91448130574606,2.75714282345676,2.75714282345676,3.56111596593062,3.37412686054801,2.96695878685356,3.04760562111882,2.95675783170925,2.85715471842678,2.96079240232985,2.75714282345676,2.96954469017939
"2078088",2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,3.1483880951863,3.1441287070749,3.17149258013733,3.04760562111882,3.05866444597116,3.14615799094504,3.16080359255887,3.06580181760648,3.17592873147506
"2079775",2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,3.15905653746911,3.02409992822708,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,3.1483880951863,3.22840751669931,3.07346574053371,3.14033149020108,3.15372225865359,3.14615799094504,2.86091304547954,2.96165674858019,2.75714282345676
"2105368",3.09565497497002,2.75714282345676,2.75714282345676,3.14814308685131,3.15905653746911,3.26426480127304,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,3.23320058229079,3.05073264268417,3.07346574053371,3.2241304177689,3.15372225865359,3.14615799094504,3.32498511444155,3.1623114907849,3.07718091675588
"2114380",3.09565497497002,2.75714282345676,2.75714282345676,3.66567482780094,3.87255955949525,3.91669177508917,4.14080225359628,4.3137317525022,4.19921919866035,3.44561041479598,3.3584096580628,3.45433929740218,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676
"2120552",3.09565497497002,2.75714282345676,2.75714282345676,3.52332745407607,3.02908787626623,3.1524365910812,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,3.80787531845442,4.0445407965384,4.43127921970167,4.24798209424666,4.34977970154084,4.12303090819766,4.40210630254092,4.30433055672062,4.4433951246438
"2154348",2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,3.1483880951863,2.95135684971037,3.17149258013733,3.14033149020108,3.15372225865359,2.95249304216834,3.16080359255887,3.06580181760648,3.17592873147506
"2159483",3.36998595016766,3.09023091225618,2.75714282345676,3.52332745407607,3.68400207245082,3.6036649381491,3.64959680910824,3.53019133987608,3.46450496619611,3.44561041479598,3.56272131710437,3.54979962931502,3.44424520760242,3.43831376632799,3.40991075088121,3.49260266061176,3.56933106332182,3.66233623923568,3.73684341906599,3.78757069390774,3.7122621877912
"2160032",3.36998595016766,3.09023091225618,2.75714282345676,3.4439042646512,3.53959130477746,3.36226672912722,3.46503246707307,3.33129158295408,3.35685302361849,3.44561041479598,3.56272131710437,3.54979962931502,3.23320058229079,3.1441287070749,3.17149258013733,3.36913365710842,3.23919647618024,3.30707285322553,3.39597088522174,3.46357551133218,3.34340217919254
"2163256",2.75714282345676,2.75714282345676,2.75714282345676,3.25928602516305,3.27193029029885,2.8899288924281,3.23342712452524,2.75714282345676,2.9204939190865,3.07465193410164,3.23437214066826,3.08010969770219,2.95374554921299,2.85663950055551,3.07346574053371,3.2241304177689,2.85908694470049,3.14615799094504,3.06454646187493,3.06580181760648,2.75714282345676
"2287574",2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,3.1483880951863,3.05073264268417,3.17149258013733,3.04760562111882,2.95675783170925,3.05240672643642,3.06454646187493,2.75714282345676,3.17592873147506
"2320559",3.09565497497002,3.3622190847827,3.10857950132888,3.52332745407607,3.61416391519565,3.6036649381491,3.64959680910824,3.61599693294,3.64897947814255,3.54031201587463,3.46622315323849,3.54979962931502,3.44424520760242,3.43831376632799,3.40991075088121,3.36913365710842,3.51226571703995,3.5576777328388,3.58021943453854,3.582535634617,3.6034197165553
"2342451",3.36998595016766,3.09023091225618,2.75714282345676,3.4439042646512,3.53959130477746,3.44987476298191,3.64959680910824,3.53019133987608,3.56085273608211,3.62688091174029,3.73293826042874,3.71810046028198,3.30980587835779,3.37412686054801,3.40991075088121,3.43301799687598,3.38670999971833,3.44114079922988,3.522632037555,3.582535634617,3.4824068737732
"2357132",2.75714282345676,2.75714282345676,3.38838015438461,3.35675771785197,3.45906402067756,3.1524365910812,3.64959680910824,3.43629596519856,3.46450496619611,3.54031201587463,3.3584096580628,3.34764226782165,3.30980587835779,3.22840751669931,3.40991075088121,3.49260266061176,3.31633476679666,3.23069165624687,3.16080359255887,3.32682472316028,3.34340217919254
"2399443",2.75714282345676,2.75714282345676,2.75714282345676,3.35675771785197,3.45906402067756,3.36226672912722,3.08682811244404,3.06885632867302,2.9204939190865,2.75714282345676,2.75714282345676,2.75714282345676,3.23320058229079,3.1441287070749,3.07346574053371,3.14033149020108,3.23919647618024,3.30707285322553,3.32498511444155,3.32682472316028,3.34340217919254
"2410456",3.09565497497002,2.75714282345676,2.75714282345676,3.14814308685131,3.15905653746911,3.26426480127304,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,3.23320058229079,3.05073264268417,3.07346574053371,3.14033149020108,3.23919647618024,3.14615799094504,3.32498511444155,3.1623114907849,3.26408574911579
"2412693",3.36998595016766,3.09023091225618,2.75714282345676,3.25928602516305,3.37074477521973,3.26426480127304,3.46503246707307,3.33129158295408,3.35685302361849,3.44561041479598,3.56272131710437,3.54979962931502,3.1483880951863,3.1441287070749,3.17149258013733,3.29992241335138,3.31633476679666,3.37679226058523,3.39597088522174,3.52483692402528,3.41568354404998
"2429252",2.75714282345676,2.75714282345676,2.75714282345676,3.5968463850741,3.61416391519565,3.44987476298191,2.92066414175877,2.75714282345676,2.75714282345676,2.91448130574606,2.75714282345676,2.75714282345676,3.71516596804011,3.55454712394308,3.59662220522169,3.49260266061176,3.45166092858187,3.37679226058523,3.58021943453854,3.1623114907849,3.4824068737732
"2433827",2.75714282345676,2.75714282345676,2.75714282345676,3.4439042646512,3.45906402067756,3.36226672912722,2.92066414175877,2.75714282345676,2.75714282345676,2.91448130574606,2.75714282345676,2.75714282345676,3.76235665632592,3.49818728968811,3.17149258013733,3.2241304177689,3.15372225865359,2.95249304216834,3.16080359255887,2.75714282345676,3.17592873147506
"2433984",2.75714282345676,2.75714282345676,2.75714282345676,3.90802885543682,3.87255955949525,3.73825772671882,3.64959680910824,2.75714282345676,2.75714282345676,3.62688091174029,2.75714282345676,2.75714282345676,4.01566795807826,3.79987822933126,3.59662220522169,3.60184555287561,3.56933106332182,3.44114079922988,3.58021943453854,2.75714282345676,3.6034197165553
"2466433",2.75714282345676,2.75714282345676,2.75714282345676,3.02088029802109,3.27193029029885,3.1524365910812,2.75714282345676,2.75714282345676,2.75714282345676,2.91448130574606,2.75714282345676,2.75714282345676,3.05424880298676,3.1441287070749,2.96695878685356,3.04760562111882,2.75714282345676,2.75714282345676,2.96079240232985,2.75714282345676,2.96954469017939
"2478382",2.75714282345676,2.75714282345676,2.75714282345676,3.52332745407607,3.61416391519565,3.67289030050602,3.46503246707307,3.21065055357123,3.46450496619611,3.07465193410164,3.3584096580628,3.08010969770219,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676
"2550329",3.09565497497002,2.75714282345676,2.75714282345676,3.52332745407607,3.53959130477746,3.36226672912722,3.23342712452524,2.75714282345676,2.9204939190865,3.07465193410164,3.23437214066826,3.08010969770219,3.37971906836484,3.1441287070749,3.33800839810925,3.29992241335138,3.23919647618024,3.44114079922988,3.522632037555,3.39794013027173,3.07718091675588
"2559454",2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,3.1483880951863,3.1441287070749,3.17149258013733,3.04760562111882,3.05866444597116,3.14615799094504,3.16080359255887,2.96165674858019,3.26408574911579
"2637551",2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,3.1483880951863,3.05073264268417,3.17149258013733,3.04760562111882,2.95675783170925,2.95249304216834,2.75714282345676,2.96165674858019,2.86487213309992
"2704230",3.36998595016766,3.09023091225618,2.75714282345676,3.25928602516305,3.37074477521973,3.26426480127304,3.46503246707307,3.33129158295408,3.35685302361849,3.44561041479598,3.56272131710437,3.54979962931502,3.1483880951863,3.1441287070749,3.17149258013733,3.29992241335138,3.38670999971833,3.37679226058523,3.522632037555,3.582535634617,3.4824068737732
"2717161",3.09565497497002,2.75714282345676,2.75714282345676,3.52332745407607,3.53959130477746,3.36226672912722,3.23342712452524,2.75714282345676,2.9204939190865,3.07465193410164,3.23437214066826,3.08010969770219,3.37971906836484,3.1441287070749,3.33800839810925,3.29992241335138,3.23919647618024,3.44114079922988,3.522632037555,3.39794013027173,3.07718091675588
"2749207",3.09565497497002,2.75714282345676,2.75714282345676,3.14814308685131,3.15905653746911,3.26426480127304,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,3.23320058229079,3.05073264268417,3.07346574053371,3.2241304177689,3.15372225865359,3.14615799094504,3.32498511444155,3.1623114907849,3.07718091675588
"2750931",3.09565497497002,2.75714282345676,2.75714282345676,3.25928602516305,3.27193029029885,3.26426480127304,3.23342712452524,3.06885632867302,3.46450496619611,3.07465193410164,3.3584096580628,3.54979962931502,3.05424880298676,3.05073264268417,3.17149258013733,2.94923983683701,2.95675783170925,2.95249304216834,2.96079240232985,3.06580181760648,3.26408574911579
"2752055",2.75714282345676,2.75714282345676,2.75714282345676,3.25928602516305,3.27193029029885,3.26426480127304,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,3.30980587835779,3.1441287070749,3.33800839810925,3.14033149020108,3.31633476679666,3.30707285322553,3.32498511444155,3.32682472316028,3.34340217919254
"2775482",3.09565497497002,2.75714282345676,2.75714282345676,3.66567482780094,3.61416391519565,3.36226672912722,3.23342712452524,3.06885632867302,3.08649589065213,3.07465193410164,3.23437214066826,3.08010969770219,3.50444313424946,3.37412686054801,3.59662220522169,3.49260266061176,3.38670999971833,3.5576777328388,3.68693207253285,3.46357551133218,3.26408574911579
"2786018",2.75714282345676,2.75714282345676,2.75714282345676,3.25928602516305,3.53959130477746,3.36226672912722,3.23342712452524,3.33129158295408,3.56085273608211,3.33973243167371,3.08757830561307,3.34764226782165,3.44424520760242,3.43831376632799,3.40991075088121,3.54868376759311,3.45166092858187,3.37679226058523,3.522632037555,3.68946020555268,3.41568354404998
"3448425",3.09565497497002,2.75714282345676,2.75714282345676,3.14814308685131,3.15905653746911,3.26426480127304,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,2.75714282345676,3.23320058229079,3.05073264268417,3.07346574053371,3.14033149020108,3.23919647618024,3.14615799094504,3.32498511444155,3.1623114907849,3.26408574911579
"3545035",3.09565497497002,2.75714282345676,2.75714282345676,3.5968463850741,3.53959130477746,3.36226672912722,3.23342712452524,2.75714282345676,2.9204939190865,3.07465193410164,3.23437214066826,3.08010969770219,3.50444313424946,3.30458412200779,3.47627914756497,3.49260266061176,3.62344501148779,3.61125342197831,3.78484298493405,3.52483692402528,3.4824068737732
